CODE,UZ,RU,EN
9252, Йирик ҳужайрали теносиновиал хавфли ўсма,Опухоль гигантоклеточная теносиновиальная злокачественная ,
9260, Юинг саркомаси,Саркома Юинга ,
9261, Узун суяклар адамантиномаси,Адамантинома длинных костей ,
9270, Одонтоген хавфли ўсма,Опухоль одонтогенная злокачественная ,
9290, Амелобластик одонтосаркома,Одонтосаркома амелобластическая ,
9310, Хавфли амелобластома,Амелобластома злокачественная ,
9330, Амелобластик фибросаркома,Фибросаркома амелобластическая ,
9342, Одонтоген карциносаркома,Карциносаркома одонтогенная ,
9362, Пинеобластома,Пинеобластома ,
9364, Периферик нейроэктодермал ўсма,Опухоль периферическая нейроэктодермальная ,
9365, Аскин ўсмаси,Опухоль Аскина ,
9370, Хордома ҚА,Хордома БДУ ,
9371, Хондроид хордома,Хордома хондроидная ,
9372, Дедифференциаллашган хордома,Хордома дедифференцированная ,
9380, Хавфли глиома,Глиома злокачественная ,
9381, Мия глиоматози,Глиоматоз мозга ,
9382, Аралаш глиома,Глиома смешанная ,
9390, Томир чигали (хориодал) саратони,Рак сосудистого (хориоидального) сплетения ,
9391, Эпендимома ҚА,Эпендимома БДУ ,
9392, Анапластик эпендимома,Эпендимома анапластическая ,
9393, Папилляр эпендимома,Эпендимома папиллярная ,
9400, Астроцитома ҚА,Астроцитома БДУ ,
9401, Анапластик астроцитома,Астроцитома анапластическая ,
9410, Протоплазматик астроцитома,Астроцитома протоплазматическая ,
9411, Гемистоцитар астроцитома,Астроцитома гемистоцитарная ,
9420, Фибрилляр астроцитома,Астроцитома фибриллярная ,
9423, Поляр спонгиобластома,Спонгиобластома полярная ,
9424, Плеоморф ксантоастроцитома,Ксантоастроцитома плеоморфная ,
9430, Астробластома,Астробластома ,
9440, Глиобластома ҚА,Глиобластома БДУ ,
9441, Йирик ҳужайрали глиобластома,Глиобластома гигантоклеточная ,
9442, Глиосаркома,Глиосаркома ,
9450, Олигодендроглиома ҚА,Олигодендроглиома БДУ ,
9451, Анапластик олигодендроглиома,Олигодендроглиома анапластическая ,
9460, Олигодендробластома,Олигодендробластома ,
9470, Медуллобластома ҚА,Медуллобластома БДУ ,
9471, Десмопластик нодуляр медуллобластома,Медуллобластома десмопластическая нодулярная ,
9472, Медулломиобластома,Медулломиобластома ,
9473, Примитив нейроэктодермал ўсма ҚА ,Опухоль нейроэктодермальная примитивная БДУ ,
9474, Йирик ҳужайрали медулломиобластома,Медуллобластома крупноклеточная ,
9480, Мияча саркомаси ҚА,Саркома мозжечковая БДУ ,
9490, Ганглионейробластома,Ганглионейробластома ,
9500, Нейробластома ҚА,Нейробластома БДУ ,
9501,Медуллоэпителиома ҚА,Медуллоэпителиома БДУ ,
9502, Тератоид медуллоэпителиома,Медуллоэпителиома тератоидная ,
9503, Нейроэпителиома ҚА,Нейроэпителиома БДУ ,
9504, Спонгионейробластома,Спонгионейробластома ,
9505, Анаплатсик ганглиоглиома,Ганглиоглиома анапластическая ,
9508," Атипик, рабдоид тератоид ўсма, ","Опухоль тератоидная, рабдоидная атипичная ",
9510, Ретинобластома ҚА,Ретинобластома БДУ ,
9511, Дифференциаллашган ретинобластома,Ретинобластома дифференцированная ,
9512, Дифференциаллашмаган ретинобластома,Ретинобластома недифференцированная ,
9513, Диффуз ретинобластома,Ретинобластома диффузная ,
9520, Олфактор нейроген ўсма,Опухоль ольфакторная нейрогенная ,
9521, Олфактор нейроцитома,Нейроцитома ольфакторная ,
9522, Олфактор нейробластома,Нейробластома ольфакторная ,
9523, Олфактор нейроэпителиома,Нейроэпителиома ольфакторная ,
9530, Хавфли менингиома,Менингиома злокачественная ,
9538, Папилляр менингиома,Менингиома папиллярная ,
9539, Менигиал саркоматоз,Саркоматоз менингеальный ,
9540, Периферик нерв қобиғи хавфли ўсмаси,Опухоль оболочки периф.нерва злокачественная ,
9560, Хавфли неврилеммома,Неврилеммома злокачественная ,
9561, Периферик нерв қобиғи хавфли ўсмаси рабдомиобластик модификацияси билан ,Опухоль оболочки периф.нерва с рабдомиобластической модиф-цией злокачественная ,
9571, Хавфли периневрома,Периневрома злокачественная ,
9580, Донадор ҳужайрали хавфли ўсма ,Опухоль зернистоклеточная злокачественная ,
9581, Юмшоқ тўқима альвеоляр саркомаси,Саркома альвеолярная мягкотканная ,
9590, Лимфома ҚА,Лимфома БДУ ,
9591, Нохожкин хавфли лимфомаси,Лимфома неходжкинская злокачественная БДУ ,
9596, Нохожкинлимфомаси билан комбинирланган Хожкин лимфомаси,Лимфома Ходжкина комбинированная с неходжкинской ,
9650, Хожкин лимфомаси ҚА ,Лимфома Ходжкина БДУ ,
9651, Лимфацитларга бой Хожкин лимфомаси,Лимфома Ходжкина богатая лимфоцитами ,
9652, Аралаш ҳужайрали Хожкин лимфомаси ҚА,Лимфома Ходжкина смешанно-клеточная БДУ ,
