CODE,UZ,RU,EN
C749, бурак усти бези ҚА,надпочечник БДУ          ,
75, бошқа эндокрин безлар                          ,др.эндокринная железа ,
C750, қалқон олди бези,паращитовидная железа          ,
C751, гипофиз,гипофиз           ,
C752, криниофарингеал йўл,краниофарингеальный проток          ,
C753, ғуддасимон без,шишковидная железа          ,
C754, каротид гломус,каротидный гломус          ,
C755, аортал гломус ва бошқа параганглийлар,аортальный гломус и др.параганглии        ,
C758, эндокрин безларининг кўплаб зарарланиши ,эндокринных желез множественное поражение        ,
C759, эндокрин без ҚА,эндокринная железа БДУ         ,
76, ноаниқ локализацияли ўсмалар ва бошқалар           ,др. и неточно указанные локализации ,
C760," бош, юз, бўйин ҚА","голова, лицо, шея БДУ        ",
C761, кўкрак бўшлиғи ҚА,грудная полость БДУ         ,
C762, қорин ҚА,живот БДУ          ,
C763, чаноқ ҚА,таз БДУ          ,
C764, қўллар ҚА,верхняя конечность БДУ         ,
C765, оёқлар ҚА,нижняя конечность БДУ         ,
C767, ноаниқ локализацияли бошқа ўсмалар,др.неуточненные локализации          ,
C768, аниқланмаган аъзоларнинг кўплаб зарарланиши,множественное поражение неуточненных органов        ,
77, лимфа тугун                                      ,лимфоузел ,
C770, бош ва бўйин л.т,л.у головы и шеи        ,
C771, кўкрак ичи л.т,внутригрудные л.у          ,
C772, қорин ичи л.т,внутрибрюшные л.у          ,
C773, кўлтиқ ости ва қўллар л.т,л.у подмышки и верхней конечности       ,
C774, чов ва оёқлар л.т,л.у паха и нижней конености       ,
C775, чаноқ ичи л.т,внутритазовые л.у          ,
C778, лимфа тугунларнинг кўплаб зарарланиши,множественное поражение лимфоузлов         ,
C779, лимфа тугун ҚА,лимфоузел БДУ          ,
80, ноаниқ                                     ,неизвестно ,
C809, ноаниқ локализацияли,неизвестная локализация          ,
